x_var,y_var,point,diff_x,diff_y,distance,theta,diff_theta,cumulative_distance,r,cumulative_distance_10_actual,cumulative_distance_10_dummy,height,diff_height,_merge,grade
4026.6667,2746.6667,593,-13.333252,-13.333252,.019460604,-2.3561945,0,16.710262,50000,167.10263,167,.55945945,.0054053664,Matched (3),.27775943
4026.6667,2733.3333,594,0,-13.333496,.013760976,3.1415927,5.4977875,16.724024,.0025030028,167.24023,167,.55945945,.0054053664,Matched (3),.392804
4026.6667,2706.6667,595,0,-26.666504,.027521448,3.1415927,0,16.751545,50000,167.51544,167,.55945945,.0054053664,Matched (3),.19640559
4040,2680,596,13.333252,-26.666748,.03077014,2.6779487,-.46364403,16.782314,.066365868,167.82315,167,.55945945,.0054053664,Matched (3),.17566922
4053.3333,2666.6667,597,13.333252,-13.333252,.019460604,2.3561945,-.32175422,16.801775,.060482822,168.01775,168,.56486487,.005405426,Matched (3),.2777625
4066.6667,2653.3333,598,13.333496,-13.333496,.019460959,2.3561945,0,16.821236,50000,168.21236,168,.56486487,.005405426,Matched (3),.27775744
4080,2640,599,13.333252,-13.333252,.019460604,2.3561945,0,16.840696,50000,168.40697,168,.56486487,.005405426,Matched (3),.2777625
4093.3333,2626.6667,600,13.333252,-13.333252,.019460604,2.3561945,0,16.860157,50000,168.60156,168,.56486487,.005405426,Matched (3),.2777625
4106.6665,2613.3333,601,13.333252,-13.333496,.019460782,2.3562036,9.0599060e-06,16.879618,2148.0115,168.79617,168,.56486487,.005405426,Matched (3),.27775994
4120,2600,602,13.333496,-13.333252,.019460782,2.3561854,-.000018119812,16.899078,1074.0057,168.99078,168,.56486487,.005405426,Matched (3),.27775994
4106.6665,2586.6667,603,-13.333496,-13.333252,.019460782,-2.3561854,-4.7123709,16.918539,.0041297222,169.18539,169,.5702703,.005405426,Matched (3),.27775994
4093.3333,2573.3333,604,-13.333252,-13.333496,.019460782,-2.3562036,-.000018119812,16.938,1074.0057,169.38,169,.5702703,.005405426,Matched (3),.27775994
4080,2560,605,-13.333252,-13.333252,.019460604,-2.3561945,9.0599060e-06,16.95746,2147.9917,169.5746,169,.5702703,.005405426,Matched (3),.2777625
4066.6667,2546.6667,606,-13.333252,-13.333252,.019460604,-2.3561945,0,16.976921,50000,169.76921,169,.5702703,.005405426,Matched (3),.2777625
4053.3333,2533.3333,607,-13.333496,-13.333496,.019460959,-2.3561945,0,16.996382,50000,169.96382,169,.5702703,.005405426,Matched (3),.27775744
4040,2533.3333,608,-13.333252,0,.013760724,-1.5707964,.78539813,17.010143,.0175207,170.10144,170,.57567567,.0054053664,Matched (3),.39281118
4026.6667,2546.6667,609,-13.333252,13.333496,.019460782,-.78538901,.78540736,17.029604,.024777947,170.29604,170,.57567567,.0054053664,Matched (3),.2777569
4013.3333,2560,610,-13.333496,13.333252,.019460782,-.7854073,-.000018298626,17.049065,1063.5106,170.49065,170,.57567567,.0054053664,Matched (3),.2777569
4000,2573.3333,611,-13.333252,13.333252,.019460604,-.78539819,9.1195107e-06,17.068525,2133.9526,170.68526,170,.57567567,.0054053664,Matched (3),.27775943
3986.6667,2586.6667,612,-13.333252,13.333496,.019460782,-.78538901,9.1791153e-06,17.087986,2120.1152,170.87985,170,.57567567,.0054053664,Matched (3),.2777569
